temperature_c,humidity_rh,co2_ppm,light_lux,air_quality_ppm,env_status,timestamp,sensor_errors
28.64,51.39,483,63.33,13.87,正常,2026-07-16 10:51:55,
28.65,51.29,484,63.33,12.99,正常,2026-07-16 10:52:01,
28.64,51.24,484,64.17,12.04,正常,2026-07-16 10:52:06,
28.64,51.14,485,63.33,12.65,正常,2026-07-16 10:52:11,
28.64,51.15,485,64.17,15.26,正常,2026-07-16 10:52:16,
28.68,50.94,484,64.17,13.21,正常,2026-07-16 10:52:21,
28.70,50.99,484,64.17,12.97,正常,2026-07-16 10:52:27,
28.71,50.96,485,65.00,12.97,正常,2026-07-16 10:52:32,
28.67,51.15,484,65.00,14.14,正常,2026-07-16 10:52:37,
28.67,51.80,485,65.00,15.80,正常,2026-07-16 10:52:42,
28.70,51.81,486,65.00,14.09,正常,2026-07-16 10:52:48,
28.68,51.62,564,65.00,13.92,正常,2026-07-16 10:52:56,
28.73,51.19,543,583.33,12.97,正常,2026-07-16 10:53:01,
28.71,51.01,543,65.00,6.37,正常,2026-07-16 10:53:07,
28.71,51.08,601,573.33,12.33,正常,2026-07-16 10:53:18,
28.77,51.07,578,66.67,11.53,正常,2026-07-16 10:53:23,
28.78,50.98,554,66.67,13.21,正常,2026-07-16 10:53:28,
28.78,50.73,543,66.67,14.31,正常,2026-07-16 10:53:33,
28.15,52.37,465,85.83,13.55,正常,2026-07-16 11:13:02,
28.16,52.65,480,85.00,13.87,正常,2026-07-16 11:13:07,
28.15,52.54,481,84.17,13.70,正常,2026-07-16 11:13:13,
28.15,52.50,485,85.00,13.80,正常,2026-07-16 11:13:18,
28.13,52.52,477,84.17,13.60,正常,2026-07-16 11:13:23,
28.15,52.40,479,84.17,14.19,正常,2026-07-16 11:13:28,
28.19,52.38,474,84.17,15.34,正常,2026-07-16 11:13:33,
28.16,52.27,478,83.33,16.12,正常,2026-07-16 11:13:39,
28.16,52.44,478,50.00,15.56,正常,2026-07-16 11:13:44,
28.16,52.58,475,85.83,11.94,正常,2026-07-16 11:13:49,
28.13,52.86,475,85.83,14.21,正常,2026-07-16 11:13:54,
28.15,52.64,477,85.83,12.89,正常,2026-07-16 11:14:00,
28.13,52.79,478,85.83,13.21,正常,2026-07-16 11:14:05,
28.13,52.56,479,85.83,12.97,正常,2026-07-16 11:14:10,
28.12,52.54,481,85.83,13.09,正常,2026-07-16 11:14:15,
28.13,52.66,481,85.83,13.60,正常,2026-07-16 11:14:20,
28.12,52.80,482,85.83,13.16,正常,2026-07-16 11:14:26,
28.13,52.79,481,85.83,13.21,正常,2026-07-16 11:14:31,
28.13,52.69,482,85.83,12.87,正常,2026-07-16 11:14:36,
28.15,52.58,481,85.83,13.65,正常,2026-07-16 11:14:41,
28.18,52.65,480,85.83,12.19,正常,2026-07-16 11:14:46,
28.16,52.52,479,85.83,13.26,正常,2026-07-16 11:14:52,
28.13,52.59,479,85.83,13.19,正常,2026-07-16 11:14:57,
