timestamp,mango_id,quality_grade,suggested_channel,maturity_label,reference_brix_range,rot_status,final_status,consistency_label,stable_frames,yolo_label,yolo_confidence,reason
2026-07-18 02:52:36,114,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,25,mango_overripe,0.6822,芒果#114连续检测25帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 02:53:10,115,C级,复检通道,成熟,12-16 Brix,疑似腐烂,需要复检,高,7,mango_overripe,0.6834,芒果#115连续检测7帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-18 02:55:14,116,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,8,mango_overripe,0.6863,芒果#116连续检测8帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 02:57:01,117,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8038,芒果#117连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 02:58:47,118,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,5,mango_overripe,0.5618,芒果#118连续检测5帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 02:59:49,119,剔除,剔除通道,过熟,不建议参考,腐烂/建议剔除,建议剔除,高,14,mango_overripe,0.7331,芒果#119连续检测14帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-18 03:00:07,120,剔除,剔除通道,过熟,不建议参考,腐烂/建议剔除,建议剔除,高,20,mango_overripe,0.8384,芒果#120连续检测20帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-18 03:00:39,121,剔除,剔除通道,未熟,不建议参考,腐烂/建议剔除,建议剔除,高,14,mango_unripe,0.6302,芒果#121连续检测14帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-18 03:00:56,122,C级,复检通道,成熟,12-16 Brix,疑似腐烂,需要复检,高,18,mango_ripe,0.7217,芒果#122连续检测18帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-18 03:02:16,123,剔除,剔除通道,过熟,不建议参考,腐烂/建议剔除,建议剔除,高,11,mango_overripe,0.8198,芒果#123连续检测11帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
